Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1762991713,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991714,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991715,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991716,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991717,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991718,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991719,70,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991720,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991721,90,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991722,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991723,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991724,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991725,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991726,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991727,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991728,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1762991729,100,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,1,0,13781.34119999595,13781.34119999595,13781.34119999595,13781.34119999595,1498.0
1762991730,100,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,1,0,13781.34119999595,13781.34119999595,13781.34119999595,13781.34119999595,1498.0
1762991731,100,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,1,0,13781.34119999595,13781.34119999595,13781.34119999595,13781.34119999595,1498.0
1762991732,100,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,1,0,13781.34119999595,13781.34119999595,13781.34119999595,13781.34119999595,1498.0
1762991733,100,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,1,0,13781.34119999595,13781.34119999595,13781.34119999595,13781.34119999595,1498.0
1762991734,100,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,1,0,13781.34119999595,13781.34119999595,13781.34119999595,13781.34119999595,1498.0
1762991735,100,,Aggregated,0.100000,0.000000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,2,0,14000.0,17884.730699996,13781.34119999595,21988.120199996047,1498.0
1762991736,100,,Aggregated,0.100000,0.000000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,2,0,14000.0,17884.730699996,13781.34119999595,21988.120199996047,1498.0
1762991737,100,,Aggregated,0.100000,0.000000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,2,0,14000.0,17884.730699996,13781.34119999595,21988.120199996047,1498.0
1762991738,100,,Aggregated,0.100000,0.000000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,2,0,14000.0,17884.730699996,13781.34119999595,21988.120199996047,1498.0
1762991740,100,,Aggregated,0.100000,0.000000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,2,0,14000.0,17884.730699996,13781.34119999595,21988.120199996047,1498.0
1762991741,100,,Aggregated,0.200000,0.000000,22000,22000,26000,26000,26000,26000,26000,26000,26000,26000,26000,3,0,22000.0,20654.102999998333,13781.34119999595,26192.847600003006,1498.0
